Date,Sugar_Intake_grams
2024-10-01,43.7
2024-10-02,95.6
2024-10-03,75.9
2024-10-04,63.9
2024-10-05,24.0
2024-10-06,24.0
2024-10-07,15.2
2024-10-08,88.0
2024-10-09,64.1
2024-10-10,73.7
2024-10-11,11.9
2024-10-12,97.3
2024-10-13,84.9
2024-10-14,29.1
2024-10-15,26.4
2024-10-16,26.5
2024-10-17,37.4
2024-10-18,57.2
2024-10-19,48.9
2024-10-20,36.2
2024-10-21,65.1
2024-10-22,22.6
2024-10-23,36.3
2024-10-24,43.0
2024-10-25,51.0
2024-10-26,80.7
2024-10-27,28.0
2024-10-28,56.3
2024-10-29,63.3
2024-10-30,14.2
2024-10-31,64.7
